,segment_start,segment_end,segment_pair,time_of_day,day_of_week,date,weather,trip_id,travel_duration
0,202577.0,201525.0,"(202577, 201525)",14:08:52,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,1386.237012
1,201525.0,200010.0,"(201525, 200010)",14:31:59,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,208.921318
2,200010.0,202994.0,"(200010, 202994)",14:35:27,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,40.666684
3,202994.0,200013.0,"(202994, 200013)",14:36:08,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,47.779175
4,200013.0,200015.0,"(200013, 200015)",14:36:56,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,50.935497
5,200015.0,200017.0,"(200015, 200017)",14:37:47,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,53.540707
6,200017.0,200018.0,"(200017, 200018)",14:38:40,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,10.94818
7,200018.0,200019.0,"(200018, 200019)",14:38:51,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,59.143357
8,200019.0,200022.0,"(200019, 200022)",14:39:50,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,120.803721
9,200022.0,202738.0,"(200022, 202738)",14:41:51,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,94.494098
10,202738.0,200026.0,"(202738, 200026)",14:43:26,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,43.379478
11,200026.0,200029.0,"(200026, 200029)",14:44:09,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,94.841296
12,200029.0,200032.0,"(200029, 200032)",14:45:44,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,135.553719
13,200032.0,200034.0,"(200032, 200034)",14:48:00,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,39.703746
14,200034.0,200036.0,"(200034, 200036)",14:48:39,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,114.914217
15,200036.0,202532.0,"(200036, 202532)",14:50:34,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,30.159386
16,202532.0,200037.0,"(202532, 200037)",14:51:04,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,52.151384
17,200037.0,202995.0,"(200037, 202995)",14:51:56,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,58.49157
18,202995.0,200040.0,"(202995, 200040)",14:52:55,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,35.910405
19,200040.0,200041.0,"(200040, 200041)",14:53:31,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,52.906228
20,200041.0,200042.0,"(200041, 200042)",14:54:24,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,50.483749
21,200042.0,200043.0,"(200042, 200043)",14:55:14,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,51.831536
22,200043.0,200045.0,"(200043, 200045)",14:56:06,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,135.52765
23,200045.0,200046.0,"(200045, 200046)",14:58:22,5.0,20160123,2.0,CA_A6-Saturday-051500_MISC_421,7.003228
0,203760.0,201574.0,"(203760, 201574)",13:38:58,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,69.46763
1,201574.0,201525.0,"(201574, 201525)",13:40:07,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,79.998708
2,201525.0,200008.0,"(201525, 200008)",13:41:27,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,135.975859
3,200008.0,200009.0,"(200008, 200009)",13:43:43,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,37.642925
4,200009.0,200011.0,"(200009, 200011)",13:44:21,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,91.49336
5,200011.0,202994.0,"(200011, 202994)",13:45:52,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,21.811257
6,202994.0,200015.0,"(202994, 200015)",13:46:14,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,64.139798
7,200015.0,200018.0,"(200015, 200018)",13:47:18,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,57.98854
8,200018.0,200019.0,"(200018, 200019)",13:48:16,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,39.485657
9,200019.0,200022.0,"(200019, 200022)",13:48:56,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,204.405685
10,200022.0,202738.0,"(200022, 202738)",13:52:20,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,47.143952
11,202738.0,200027.0,"(202738, 200027)",13:53:07,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,59.18625
12,200027.0,200029.0,"(200027, 200029)",13:54:07,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,96.773033
13,200029.0,200031.0,"(200029, 200031)",13:55:43,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,56.380835
14,200031.0,200032.0,"(200031, 200032)",13:56:40,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,88.250339
15,200032.0,200033.0,"(200032, 200033)",13:58:08,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,9.595793
16,200033.0,200034.0,"(200033, 200034)",13:58:18,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,31.0
17,200034.0,200035.0,"(200034, 200035)",13:58:49,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,90.127893
18,200035.0,200036.0,"(200035, 200036)",14:00:19,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,4.245171
19,200036.0,200037.0,"(200036, 200037)",14:00:23,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,46.218912
20,200037.0,200040.0,"(200037, 200040)",14:01:09,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,59.937817
21,200040.0,200043.0,"(200040, 200043)",14:02:09,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,65.60095
22,200043.0,200046.0,"(200043, 200046)",14:03:15,5.0,20160116,1.0,CA_A6-Saturday-051500_MISC_421,72.898311
