,segment_start,segment_end,segment_pair,travel_duration
0,201951, 201933,"(201951, 201933)",69.0
1,400354, 400354,"(400354, 400354)",77.4444444444
2,901111, 402143,"(901111, 402143)",255.076103482
3,805037, 805039,"(805037, 805039)",171.711482417
4,404299, 404299,"(404299, 404299)",59.5
5,805033, 805035,"(805033, 805035)",202.096417115
6,203617, 203810,"(203617, 203810)",69.3924207914
7,201948, 201933,"(201948, 201933)",48.0
8,805034, 805037,"(805034, 805037)",154.336408372
9,203610, 203610,"(203610, 203610)",33.0
10,402228, 402229,"(402228, 402229)",126.225410708
11,905030, 400186,"(905030, 400186)",197.014065992
12,402144, 402144,"(402144, 402144)",94.0
13,203611, 203612,"(203611, 203612)",113.545453116
14,400744, 404326,"(400744, 404326)",127.608300458
15,201933, 201934,"(201933, 201934)",74.213342179
16,200428, 203884,"(200428, 203884)",50.6162892454
17,201499, 201730,"(201499, 201730)",86.2758797561
18,402227, 404299,"(402227, 404299)",48.0
19,203343, 203343,"(203343, 203343)",71.3636363636
20,901114, 805034,"(901114, 805034)",162.457111296
21,901171, 805039,"(901171, 805039)",124.0
22,404326, 402233,"(404326, 402233)",141.502374561
23,203052, 203052,"(203052, 203052)",82.0
24,203724, 203343,"(203724, 203343)",136.44639999
25,901111, 903205,"(901111, 903205)",491.0
26,402229, 402229,"(402229, 402229)",29.5
27,450040, 450040,"(450040, 450040)",78.5
28,203609, 203610,"(203609, 203610)",85.2040916244
29,203884, 200430,"(203884, 200430)",37.7583932582
30,903205, 903205,"(903205, 903205)",56.4210526316
31,905020, 905020,"(905020, 905020)",74.0
32,203610, 203611,"(203610, 203611)",91.7621169117
33,201492, 201495,"(201492, 201495)",80.6557495394
34,404890, 404887,"(404890, 404887)",218.0
35,402144, 402145,"(402144, 402145)",174.970927807
36,903205, 805035,"(903205, 805035)",35.0
37,402227, 402228,"(402227, 402228)",93.537191821
38,404326, 404326,"(404326, 404326)",63.0
39,201933, 201933,"(201933, 201933)",65.5
40,201940, 201942,"(201940, 201942)",48.2590320544
41,901171, 805038,"(901171, 805038)",140.0
42,402228, 404299,"(402228, 404299)",26.0
43,202941, 203052,"(202941, 203052)",125.202145825
44,202647, 200316,"(202647, 200316)",35.0
45,201495, 200316,"(201495, 200316)",106.0
46,404300, 450040,"(404300, 450040)",20.3333333333
47,400186, 400354,"(400186, 400354)",207.32183424
48,901171, 903205,"(901171, 903205)",195.866915996
49,203723, 203724,"(203723, 203724)",80.7559250008
50,202647, 203809,"(202647, 203809)",66.7027771166
51,405043, 203724,"(405043, 203724)",56.0
52,404890, 404890,"(404890, 404890)",177.5
53,404850, 803074,"(404850, 803074)",86.4560604117
54,805033, 805033,"(805033, 805033)",325.0
55,201942, 201944,"(201942, 201944)",78.3271397622
56,903205, 405043,"(903205, 405043)",188.124307949
57,203724, 203724,"(203724, 203724)",78.9220779221
58,201950, 201933,"(201950, 201933)",2095.0
59,203810, 203456,"(203810, 203456)",93.6785314466
60,405043, 405043,"(405043, 405043)",60.1666666667
61,450402, 450402,"(450402, 450402)",189.0
62,202669, 201933,"(202669, 201933)",234.0
63,203456, 200646,"(203456, 200646)",62.9414313601
64,450040, 404299,"(450040, 404299)",152.906363977
65,402145, 905030,"(402145, 905030)",120.133750469
66,203343, 203798,"(203343, 203798)",103.456676009
67,201498, 201499,"(201498, 201499)",59.7450243099
68,404890, 400070,"(404890, 400070)",614.0
69,803071, 901111,"(803071, 901111)",183.638075082
70,203609, 203609,"(203609, 203609)",50.0
71,901171, 901171,"(901171, 901171)",50.5
72,404850, 404850,"(404850, 404850)",63.0
73,201944, 203067,"(201944, 203067)",139.0
74,905020, 805033,"(905020, 805033)",204.408733767
75,905030, 903205,"(905030, 903205)",92.0
76,202589, 201947,"(202589, 201947)",82.9157290842
77,201951, 203604,"(201951, 203604)",55.265011597
78,203723, 203723,"(203723, 203723)",93.0
79,404890, 404891,"(404890, 404891)",91.3521566538
80,905019, 200316,"(905019, 200316)",2.8
81,404300, 402227,"(404300, 402227)",114.970073394
82,203608, 203609,"(203608, 203609)",96.0038909512
83,404300, 404300,"(404300, 404300)",75.0
84,402229, 400744,"(402229, 400744)",147.104603003
85,203604, 203608,"(203604, 203608)",65.663413205
86,201730, 203616,"(201730, 203616)",69.8143055847
87,201950, 201951,"(201950, 201951)",75.2124595198
88,402233, 400744,"(402233, 400744)",13.0
89,404299, 404300,"(404299, 404300)",127.744030162
90,404892, 404892,"(404892, 404892)",103.0
91,903101, 903101,"(903101, 903101)",32.0
92,903101, 404850,"(903101, 404850)",104.770592872
93,400070, 404887,"(400070, 404887)",335.0
94,400070, 400070,"(400070, 400070)",54.6
95,404887, 400070,"(404887, 400070)",741.228624009
96,402229, 905030,"(402229, 905030)",96.0
97,203614, 901108,"(203614, 901108)",781.702345448
98,905020, 203809,"(905020, 203809)",1304.0
99,203605, 202647,"(203605, 202647)",63.4374119267
100,400186, 903205,"(400186, 903205)",58.0
101,201947, 201948,"(201947, 201948)",114.566459749
102,400744, 400744,"(400744, 400744)",82.0
103,400354, 402145,"(400354, 402145)",627.0
104,805039, 805038,"(805039, 805038)",170.639407769
105,203614, 203614,"(203614, 203614)",62.0
106,203611, 201933,"(203611, 201933)",12.0
107,203067, 201933,"(203067, 201933)",228.614314865
108,203052, 200652,"(203052, 200652)",124.186400767
109,201942, 201933,"(201942, 201933)",24.0
110,200316, 200428,"(200316, 200428)",72.3088574758
111,901108, 404887,"(901108, 404887)",775.969335212
112,402143, 402144,"(402143, 402144)",253.213940586
113,400186, 400186,"(400186, 400186)",80.6428571429
114,803074, 803074,"(803074, 803074)",32.0
115,201934, 201934,"(201934, 201934)",111.0
116,202603, 202603,"(202603, 202603)",59.0
117,201944, 201933,"(201944, 201933)",18.0
118,200652, 203723,"(200652, 203723)",99.4705286157
119,805035, 901114,"(805035, 901114)",181.106747182
120,201948, 201950,"(201948, 201950)",96.2110788219
121,803071, 903205,"(803071, 903205)",808.5
122,803033, 903205,"(803033, 903205)",178.0
123,404300, 404299,"(404300, 404299)",84.0
124,201933, 203067,"(201933, 203067)",197.0
125,803074, 803071,"(803074, 803071)",115.939473215
126,203612, 203613,"(203612, 203613)",126.756796246
127,200652, 200652,"(200652, 200652)",78.6666666667
128,402145, 402145,"(402145, 402145)",51.5
129,400354, 450040,"(400354, 450040)",188.648185865
130,201730, 201498,"(201730, 201498)",88.0
131,402228, 404300,"(402228, 404300)",67.0
132,803074, 903205,"(803074, 903205)",118.0
133,201934, 203417,"(201934, 203417)",62.0871719206
134,201940, 203067,"(201940, 203067)",114.0
135,402143, 402143,"(402143, 402143)",78.3333333333
136,203616, 203617,"(203616, 203617)",66.1152130018
137,803033, 401666,"(803033, 401666)",81.313768015
138,203613, 203614,"(203613, 203614)",120.693328852
139,400070, 450402,"(400070, 450402)",188.517552524
140,404891, 404892,"(404891, 404892)",71.0230848333
141,200646, 200715,"(200646, 200715)",56.7571047539
142,905020, 203724,"(905020, 203724)",195.0
143,404299, 400354,"(404299, 400354)",29.75
144,905030, 905030,"(905030, 905030)",59.0
145,901111, 901111,"(901111, 901111)",32.0
146,202669, 201940,"(202669, 201940)",58.980492726
147,805039, 805039,"(805039, 805039)",60.0
148,805038, 805038,"(805038, 805038)",60.0
149,203067, 203067,"(203067, 203067)",110.0
150,203809, 201492,"(203809, 201492)",63.9363352856
151,803033, 803033,"(803033, 803033)",47.0
152,805038, 901171,"(805038, 901171)",162.047678515
153,202603, 202941,"(202603, 202941)",94.694436031
154,200430, 203605,"(200430, 203605)",52.6018445466
155,404892, 404242,"(404892, 404242)",95.75
156,203798, 905020,"(203798, 905020)",85.1339316928
157,201495, 201497,"(201495, 201497)",72.6001899954
158,203417, 202669,"(203417, 202669)",78.8240340405
159,203884, 905019,"(203884, 905019)",53.0
160,200715, 202603,"(200715, 202603)",60.711777233
161,405043, 803033,"(405043, 803033)",164.755008994
162,201497, 201498,"(201497, 201498)",61.7821870247
163,402144, 903205,"(402144, 903205)",151.0
164,201944, 202589,"(201944, 202589)",60.4391117573
165,203612, 201933,"(203612, 201933)",9.0
166,401666, 903101,"(401666, 903101)",71.6793858046
167,203343, 203052,"(203343, 203052)",68.0
168,404887, 404887,"(404887, 404887)",66.0
169,450402, 404890,"(450402, 404890)",169.120113058
170,803071, 803071,"(803071, 803071)",63.5
171,401666, 401666,"(401666, 401666)",63.0
