,actual,baseline,linear_regression,SVM,NN,GP
0,511.0,446.585724444,519.48199351,524.215405112,532.535742546,532.506188076
1,406.170428,392.006927817,464.102768984,460.138836674,467.533461936,467.426766871
2,210.156482,252.939668125,299.956760254,296.90059303,301.678035316,301.603781148
3,149.303174,115.315350893,138.925402975,135.353697183,137.561609488,137.501354814
4,115.8912,79.8456602239,97.5144572274,93.7175970004,95.2703781493,95.2075054196
5,293.0,256.418363402,306.338863321,300.980513914,305.85286878,305.751761694
6,115.251596,96.3950935737,118.777596324,113.138484886,115.044041315,114.940959323
7,117.576333,75.301082811,91.4105516156,88.3847885211,89.8381217317,89.7885757328
8,387.616268,344.031119928,409.072272602,403.822161909,410.33384178,410.220697782
9,41.794956,46.9761499463,57.5571509429,55.1309044777,56.0972562422,56.0140989635
10,290.493087,274.515434975,327.074273971,322.223982674,327.428430008,327.330602467
11,173.968022,122.547621974,146.478776796,143.844677103,146.174270047,146.125070191
12,303.410378,291.661074408,352.299027581,342.342007342,347.95318879,347.774960513
13,558.564325,458.294240134,531.699036874,537.960842773,546.484796733,546.467350924
14,237.68071,154.222195262,183.022257705,181.025829176,183.940380449,183.893644043
15,73.521043,54.5643395973,66.7128049966,64.0438400354,65.1066496015,65.0622045655
16,410.199513,381.378389274,452.296288486,447.661931836,454.865608697,454.753361223
17,110.199513,81.7639421542,101.009125036,95.962117817,97.6093239984,97.49486275
18,94.716784,57.2758457615,70.6029302327,67.2202973998,68.3851775782,68.2953966688
19,381.157185,286.14336079,334.241863418,335.881787571,341.227693047,341.195660782
20,183.0,114.173118303,139.702680906,134.008181597,136.234649135,136.139369707
21,837.68071,697.863875632,808.342779894,819.177046937,832.143588106,832.128770251
22,480.708559,388.531349975,456.194545743,456.064264897,463.348971218,463.282501135
23,354.860515,259.834719307,309.051999383,304.992671647,309.91191874,309.825401696
24,93.916892,80.5266168881,99.4736846931,94.5098031683,96.1331070268,96.0194832531
25,423.264154,324.654696529,386.0815069,381.078132316,387.223687993,387.116363805
26,162.917243,190.717628434,228.165902881,223.861346738,227.489642684,227.410589022
27,1706.319887,1525.75133204,1752.78063069,1790.99642355,1819.20192907,1819.29686865
28,179.067641,172.516044799,208.874713816,202.492177307,205.81211784,205.707132752
29,140.933211,119.571669508,145.916107956,140.330920233,142.792081964,142.576573449
30,87.616268,70.6353789533,87.0658495777,82.8993338974,84.3361541076,84.2252290197
31,518.324908,451.092919109,524.100809083,529.506815617,537.904631065,537.880539419
32,88.890949,115.353089972,141.96240495,135.390264052,137.663527369,137.546364897
